Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100n,
D1,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,1,LED_ABRG,
"Q1, Q10, Q11, Q4, Q5, Q6, Q7, Q8, Q9",SOT-323_SC-70,9,BF820W,
Q3,SOT-323_SC-70,1,MSB92W,
"R1, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5",0805,14,10k,
R10,0805,1,680R,
"R11, R12",0805,2,330R,
"R6, R7",0805,2,1M,
"R8, R9",0805,2,68k,
U1,TQFP-32_7x7mm_P0.8mm,1,STM32F042K6,
